,Unnamed: 0,_id,url,title,address,time_start,time_end,price_start,price_end,image,score_space,score_quality,score_price,score_service,score_location,total_score_comment_for_excellent,total_score_comment_for_good,total_score_comment_for_avg,total_score_comment_for_bad,avg_score_comment,title_first_chars
96,96,6469fb83b1064f9440f70154,https://www.foody.vn/ha-noi/pullman-hotel-cat-linh,"Pullman Hotel - Cát Linh ở Quận Đống Đa, Hà Nội | Foody.vn","40 Cát Linh, P. Cát Linh Quận Đống Đa Hà Nội",00:00,23:30,500.000đ ,5.000.000,['https://images.foody.vn/res/g10/91528/prof/s576x330/foody-mobile-pullman-jpg-116-636186858675221859.jpg'],['6.6'],['7.4'],['7.6'],['6.8'],['8.1'],0,10,4,0,7.3,Pullman Hotel - Cát 
97,97,6469fb83b1064f9440f70155,https://www.foody.vn/ha-noi/wabi-sabi-vuon-nhat,"Wabi Sabi Vườn Nhật ở Quận Hai Bà Trưng, Hà Nội | Foody.vn","15 Tô Hiến Thành, P. Bùi Thị Xuân Quận Hai Bà Trưng Hà Nội",10:30,02:30 | 17:30 ,100.000đ ,220.000,['https://images.foody.vn/res/g1/75/prof/s576x330/file_restaurant_photo_s9zg_16052-9d401050-201113165051.jpg'],['4.8'],['6.1'],['6.7'],['6.1'],['7.1'],0,8,5,3,6.2,Wabi Sabi Vườn Nhật 
99,99,6469fb83b1064f9440f70157,https://www.foody.vn/ha-noi/buffet-sen-viet-sahul-ha-noi,"Buffet Sen Việt - Sahul Hà Nội ở Quận Hai Bà Trưng, Hà Nội | Foody.vn",684 Minh Khai  Quận Hai Bà Trưng Hà Nội,11:00,21:30,250.000đ ,280.000,['https://images.foody.vn/res/g15/142130/prof/s576x330/foody-mobile-b2-jpg-887-635694410498495875.jpg'],['6.4'],['6.8'],['7.2'],['6.5'],['7.4'],1,9,4,3,6.9,Buffet Sen Việt - Sa
100,100,6469fb83b1064f9440f70158,https://www.foody.vn/ha-noi/bien-dong,"Hải Sản Biển Đông - Trần Thái Tông ở Quận Cầu Giấy, Hà Nội | Foody.vn","2 Ngõ 84 Trần Thái Tông, P. Dịch Vọng Hậu Quận Cầu Giấy Hà Nội",10:30,14:00 | 17:00 ,300.000đ ,550.000,['https://images.foody.vn/res/g1/660/prof/s576x330/foody-upload-api-foody-mobile-p8-jpg-180928173000.jpg'],['6.6'],['7.2'],['7.3'],['7.1'],['7.5'],7,27,12,6,7.1,Hải Sản Biển Đông - 
102,102,6469fb83b1064f9440f7015a,https://www.foody.vn/ha-noi/new-york-sport-bar-mon-an-au-a-ba-trieu,"New York Sport Bar - Món Ăn Âu & Á - Bà Triệu ở Quận Hoàn Kiếm, Hà Nội | Foody.vn",38 Bà Triệu Quận Hoàn Kiếm Hà Nội,07:00,22:00,50.000đ ,500.000,['https://images.foody.vn/res/g13/126121/prof/s576x330/foody-upload-api-foody-mobile-foody-upload-api-foo-200526165502.jpg'],['6.5'],['8.0'],['8.3'],['7.9'],['8.4'],4,64,6,1,7.8,New York Sport Bar -
103,103,6469fb83b1064f9440f7015b,https://www.foody.vn/ha-noi/it-cream,"Tiệm Bánh IT - Lê Thanh Nghị ở Quận Hai Bà Trưng, Hà Nội | Foody.vn","64 - 66 Lê Thanh Nghị, P. Bách Khoa Quận Hai Bà Trưng Hà Nội",07:00,22:30,35.000đ ,77.000,['https://images.foody.vn/res/g1/3146/prof/s576x330/foody-mobile-itcream-jpg-800-635851636790837735.jpg'],['6.3'],['6.4'],['7.3'],['6.4'],['7.6'],11,50,43,18,6.8,Tiệm Bánh IT - Lê Th
104,104,6469fb83b1064f9440f7015c,https://www.foody.vn/ha-noi/bamboo-bar-sofitel-legend-metropole-hanoi,"Bamboo Bar - Sofitel Legend Metropole Hanoi ở Quận Hoàn Kiếm, Hà Nội | Foody.vn",15 Ngô Quyền Quận Hoàn Kiếm Hà Nội,18:00,01:00,100.000đ ,500.000,['https://images.foody.vn/res/g3/25066/prof/s576x330/foody-mobile-bamboo-bar-ha-noi.jpg'],['6.6'],['8.4'],['8.4'],['8.2'],['8.6'],0,5,0,0,8.0,Bamboo Bar - Sofitel
105,105,6469fb83b1064f9440f7015d,https://www.foody.vn/ha-noi/mint-bar-pullman-hanoi-hotel,"Mint Bar - Pullman Hanoi Hotel ở Quận Đống Đa, Hà Nội | Foody.vn",40 Cát Linh Quận Đống Đa Hà Nội,07:00,23:30,100.000đ ,500.000,['https://images.foody.vn/res/g15/141137/prof/s576x330/foody-mobile-mint-jpg-643-635820554570280456.jpg'],['7.5'],['7.5'],['7.5'],['7.5'],['7.5'],0,2,0,0,7.5,Mint Bar - Pullman H
106,106,6469fb83b1064f9440f7015e,https://www.foody.vn/ha-noi/angelina-restaurant-lounge-sofitel-legend-metropole-hanoi,"Angelina Restaurant & Lounge - Sofitel Legend Metropole Hanoi ở Quận Hoàn Kiếm, Hà Nội | Foody.vn",15 Ngô Quyền Quận Hoàn Kiếm Hà Nội,00:01,02:00 | 11:00 ,100.000đ ,220.000,['https://images.foody.vn/res/g3/29703/prof/s576x330/foody-mobile-sf-jpg-173-635761807926072932.jpg'],['7.0'],['8.4'],['8.5'],['8.4'],['8.5'],4,20,1,0,8.1,Angelina Restaurant 
107,107,6469fb83b1064f9440f7015f,https://www.foody.vn/ha-noi/le-club-bar-sofitel-legend-metropole-hanoi,"Le Club Bar - Sofitel Legend Metropole Hanoi ở Quận Hoàn Kiếm, Hà Nội | Foody.vn","15 Ngô Quyền, P. Tràng Tiền Quận Hoàn Kiếm Hà Nội",06:30,23:30,100.000đ ,500.000,['https://images.foody.vn/res/g8/72693/prof/s576x330/foody-mobile-le-club-jpg-290-635788167806341955.jpg'],['6.5'],['8.6'],['8.7'],['8.5'],['8.9'],2,9,0,0,8.2,Le Club Bar - Sofite
108,108,6469fb83b1064f9440f70160,https://www.foody.vn/ha-noi/tra-sua-tocotoco-thi-tran-dong-anh,"Trà Sữa Tocotoco - Thị Trấn Đông Anh ở Huyện Đông Anh, Hà Nội | Foody.vn","38 Cao Lỗ, Thị Trấn Đông Anh Huyện Đông Anh Hà Nội",08:00,23:00,25.000đ ,60.000,['https://images.foody.vn/res/g69/686687/prof/s576x330/foody-mobile-18485836_45816893785-206-636403905636750035.jpg'],['3.8'],['4.4'],['4.8'],['3.8'],['5.6'],0,1,1,3,4.5,Trà Sữa Tocotoco - T
109,109,6469fb83b1064f9440f70161,https://www.foody.vn/ha-noi/pho-ngon-dai-hiep,"Phở Ngon - Đại Hiệp ở Huyện Đông Anh, Hà Nội | Foody.vn","Quốc Lộ 3, Lộc Hà, Mai Lâm Huyện Đông Anh Hà Nội",07:00,22:00,25.000đ ,94.000,['https://images.foody.vn/res/g5/44040/prof/s576x330/foody-mobile-pho-ngon-dai-hiep-ha-noi-131113094028.jpg'],['7.5'],['8.5'],['8.5'],['8.5'],['8.5'],2,1,1,0,8.3,Phở Ngon - Đại Hiệp 
111,111,6469fb83b1064f9440f70163,https://www.foody.vn/ha-noi/sea-smile-coffee-fast-food,"Sea Smile- Coffee & Fast Food ở Huyện Đông Anh, Hà Nội | Foody.vn","80 Cao Lỗ, Tổ 1, TT Đông Anh Huyện Đông Anh Hà Nội",08:00,21:30,15.000đ ,52.000,['https://images.foody.vn/res/g17/165476/prof/s576x330/foody-mobile-nhung-do-an-vat-gay--179-635816276445935098.jpg'],['7.2'],['7.8'],['8.4'],['7.8'],['9.0'],1,3,1,0,8.0,Sea Smile- Coffee & 
114,114,6469fb83b1064f9440f70166,https://www.foody.vn/ha-noi/thai-hanh-huy-mai-quan-an-vat,"Thái Hạnh - Huy Mai - Quán Ăn Vặt - Ngõ 4C ở Quận Đống Đa, Hà Nội | Foody.vn",3 Ngõ 4C Đặng Văn Ngữ Quận Đống Đa Hà Nội,07:30,23:00,5.000đ ,50.000,['https://images.foody.vn/res/g9/87201/prof/s576x330/image-bdfb525e-200910115813.jpeg'],['6.2'],['6.6'],['6.7'],['6.4'],['7.5'],21,181,102,47,6.7,Thái Hạnh - Huy Mai 
125,125,6469fb83b1064f9440f70171,https://www.foody.vn/ha-noi/ding-tea-nhon,"Ding Tea - Nhổn ở Quận Nam Từ Liêm, Hà Nội | Foody.vn",105 Nhổn Quận Nam Từ Liêm Hà Nội,08:00,23:00,25.000đ ,55.000,['https://images.foody.vn/res/g67/668783/prof/s576x330/foody-upload-api-foody-mobile-5-190624155530.jpg'],['6.0'],['6.5'],['7.0'],['6.0'],['7.8'],0,2,2,0,6.7,Ding Tea - Nhổn ở Qu
126,126,6469fb83b1064f9440f70172,https://www.foody.vn/ha-noi/drfan-ga-ran-do-an-nhanh,"Drfan - Gà Rán & Đồ Ăn Nhanh ở Quận Bắc Từ Liêm, Hà Nội | Foody.vn",53 Phố Nhổn Quận Bắc Từ Liêm Hà Nội,08:00,22:00,50.000đ ,500.000,['https://images.foody.vn/res/g63/629146/prof/s576x330/foody-mobile-1-jpg-461-636203503134688798.jpg'],['6.3'],['6.8'],['7.0'],['6.5'],['7.0'],0,2,1,1,6.7,Drfan - Gà Rán & Đồ 
127,127,6469fb83b1064f9440f70173,https://www.foody.vn/ha-noi/ngoc-nhi-che-sai-gon,"Quán Ngọc Nhi - Chè Sài Gòn Mát Lạnh Tại Hà Nội ở Quận Bắc Từ Liêm, Hà Nội | Foody.vn","Đường 32, Ngã 4 Nhổn Quận Bắc Từ Liêm Hà Nội",07:00,22:00,8.000đ ,22.000,['https://images.foody.vn/res/g4/35524/prof/s576x330/foody-mobile-ngoc-nhi-che-sai-gon-ha-noi.jpg'],['5.0'],['5.8'],['6.0'],['5.4'],['6.6'],0,1,3,1,5.8,Quán Ngọc Nhi - Chè 
128,128,6469fb83b1064f9440f70174,https://www.foody.vn/ha-noi/hq-paris,"Cafe HQ Paris - Phố Nhổn Hà Nội ở Quận Bắc Từ Liêm, Hà Nội | Foody.vn","Phố Nhổn, Đường 32, Nguyên Xã, Minh Khai Quận Bắc Từ Liêm Hà Nội",08:00,23:00,50.000đ ,110.000,['https://images.foody.vn/res/g2/16405/prof/s576x330/foody-mobile-hq-paris-ha-noi.jpg'],['6.0'],['6.0'],['7.0'],['6.0'],['8.0'],0,0,1,0,6.6,Cafe HQ Paris - Phố 
129,129,6469fb83b1064f9440f70175,https://www.foody.vn/ha-noi/brickhouse-bar-restaurant,"Brickhouse Bar & Restaurant - Nguyễn Khánh Toàn Hà Nội ở Quận Cầu Giấy, Hà Nội | Foody.vn",Lô 2 Nguyễn Khánh Toàn Quận Cầu Giấy Hà Nội,07:00,23:00,100.000đ ,385.000,[],['6.4'],['7.3'],['7.6'],['7.3'],['8.2'],1,41,7,1,7.4,Brickhouse Bar & Res
130,130,6469fb83b1064f9440f70176,https://www.foody.vn/ha-noi/nha-hang-que-am-thuc-viet,"Nhà Hàng Quê - Ẩm Thực Việt ở Quận Đống Đa, Hà Nội | Foody.vn",77 Ngõ 252 Tây Sơn Quận Đống Đa Hà Nội,09:00,22:00,50.000đ ,165.000,['https://images.foody.vn/res/g2/19791/prof/s576x330/foody-mobile-q1-jpg-789-635767005038792433.jpg'],['5.3'],['6.9'],['7.0'],['6.4'],['7.0'],1,3,2,1,6.5,Nhà Hàng Quê - Ẩm Th
131,131,6469fb83b1064f9440f70177,https://www.foody.vn/ha-noi/cuon-n-roll-restaurant-giang-vo,"Cuốn N Roll Restaurant - Giảng Võ ở Quận Ba Đình, Hà Nội | Foody.vn","Tầng 3 Tòa Nhà D2, Giảng Võ, P. Giảng Võ Quận Ba Đình Hà Nội",09:00,13:30 | 17:00 ,40.000đ ,468.000,['https://images.foody.vn/res/g13/128165/prof/s576x330/file_restaurant_photo_xdsg_16058-0366f77b-201120161206.jpg'],['6.4'],['7.2'],['7.4'],['6.8'],['7.6'],3,46,9,6,7.1,Cuốn N Roll Restaura
132,132,6469fb83b1064f9440f70178,https://www.foody.vn/ha-noi/climax-garden-beer,"Climax Garden Beer ở Quận Hoàn Kiếm, Hà Nội | Foody.vn",91 Trần Hưng Đạo Quận Hoàn Kiếm Hà Nội,07:00,23:00,25.000đ ,4.400.000,['https://images.foody.vn/res/g4/35142/prof/s576x330/foody-mobile-beer-jpg-500-635925938465961584.jpg'],['5.7'],['6.4'],['7.8'],['6.3'],['7.8'],0,5,7,0,6.8,Climax Garden Beer ở
133,133,6469fb83b1064f9440f70179,https://www.foody.vn/ha-noi/six-pub-hang-tre,"Six Pub - Hàng Tre ở Quận Hoàn Kiếm, Hà Nội | Foody.vn","Tầng 6, 20 Hàng Tre Quận Hoàn Kiếm Hà Nội",16:00,02:00,35.000đ ,300.000,['https://images.foody.vn/res/g9/85529/prof/s576x330/foody-mobile-six-jpg-607-635844808656151499.jpg'],['7.2'],['7.9'],['8.0'],['7.6'],['8.1'],1,21,2,0,7.7,Six Pub - Hàng Tre ở
134,134,6469fb83b1064f9440f7017a,https://www.foody.vn/ha-noi/phung-hung-pho-dac-san-lau,"Phùng Hưng Phố - Đặc Sản Lẩu ở Quận Hoàn Kiếm, Hà Nội | Foody.vn","10 Phùng Hưng, P. Hàng Mã Quận Hoàn Kiếm Hà Nội",09:00,22:00,100.000đ ,150.000,['https://images.foody.vn/res/g6/59924/prof/s576x330/foody-mobile-phung-hung-pho-dac-san-lau-ha-noi-140317035111.jpg'],['6.5'],['6.6'],['6.8'],['6.5'],['6.9'],0,8,1,1,6.7,Phùng Hưng Phố - Đặc
136,136,6469fb83b1064f9440f7017c,https://www.foody.vn/ha-noi/hay-bar-ta-hien,"Hay Bar - Tạ Hiện ở Quận Hoàn Kiếm, Hà Nội | Foody.vn",12 Tạ Hiện Quận Hoàn Kiếm Hà Nội,19:00,23:30,100.000đ ,500.000,['https://images.foody.vn/res/g9/85394/prof/s576x330/foody-mobile-hay-bar-ta-hien-ha-noi-140707110250.jpg'],['6.9'],['7.2'],['7.3'],['7.0'],['7.5'],0,19,9,1,7.2,Hay Bar - Tạ Hiện ở 
139,139,6469fb83b1064f9440f7017f,https://www.foody.vn/ha-noi/meat-king-family-bbq,"Meat King - Thịt Nướng - Trần Kim Xuyến ở Quận Cầu Giấy, Hà Nội | Foody.vn","4 Trần Kim Xuyến, P. Yên Hòa Quận Cầu Giấy Hà Nội",11:00,22:00,200.000đ ,350.000,['https://images.foody.vn/res/g80/794303/prof/s576x330/foody-upload-api-foody-mobile-1-200429105647.jpg'],['9.1'],['9.4'],['9.4'],['9.3'],['9.7'],14,2,0,0,9.4,Meat King - Thịt Nướ
145,145,6469fb83b1064f9440f70185,https://www.foody.vn/ha-noi/food-street,"Food Street - Quang Trung ở Quận Hoàn Kiếm, Hà Nội | Foody.vn",25 Quang Trung Quận Hoàn Kiếm Hà Nội,10:00,22:00,25.000đ ,250.000,[],['7.0'],['7.4'],['7.6'],['7.3'],['7.6'],5,37,6,4,7.4,Food Street - Quang 
146,146,6469fb83b1064f9440f70186,https://www.foody.vn/ha-noi/banh-mi-pho-thai-thinh,"Bánh Mì Phố - Thái Thịnh ở Quận Đống Đa, Hà Nội | Foody.vn","100 Thái Thịnh, P. Ngã Tư Sở Quận Đống Đa Hà Nội",06:00,23:00,25.000đ ,50.000,['https://images.foody.vn/res/g17/162330/prof/s576x330/file_restaurant_photo_eo87_16473-3ffc258f-220316064114.jpeg'],['7.5'],['7.9'],['8.1'],['7.9'],['8.2'],58,117,20,12,7.9,Bánh Mì Phố - Thái T
147,147,6469fb83b1064f9440f70187,https://www.foody.vn/ha-noi/chao-suon-sun-huyen-anh-cho-dem-dong-xuan-dong-xuan,"Cháo Sườn Sụn Huyền Anh Chợ Đêm Đồng Xuân - Đồng Xuân ở Quận Hoàn Kiếm, Hà Nội | Foody.vn","14 Đồng Xuân, P. Đồng Xuân Quận Hoàn Kiếm Hà Nội",00:01,03:00 | 20:00 ,20.000đ ,50.000,['https://images.foody.vn/res/g8/70304/prof/s576x330/foody-mobile-chao-suon-dong-xuan--865-635851239130539281.jpg'],['6.4'],['7.2'],['7.2'],['7.1'],['8.1'],5,141,57,5,7.2,Cháo Sườn Sụn Huyền 
148,148,6469fb83b1064f9440f70188,https://www.foody.vn/ha-noi/cot-dien-quan-banh-mi-chao-dang-van-ngu,"Cột Điện Quán - Bánh Mì Chảo - Đặng Văn Ngữ ở Quận Đống Đa, Hà Nội | Foody.vn","71 Đặng Văn Ngữ, P. Trung Tự Quận Đống Đa Hà Nội",08:30,22:00,25.000đ ,50.000,[],['6.7'],['6.9'],['7.1'],['6.8'],['7.3'],11,146,84,18,7.0,Cột Điện Quán - Bánh
149,149,6469fb83b1064f9440f70189,https://www.foody.vn/ha-noi/highlands-coffee-le-duan,"Highlands Coffee - Lê Duẩn ở Quận Hoàn Kiếm, Hà Nội | Foody.vn","129 Lê Duẩn, P. Cửa Nam Quận Hoàn Kiếm Hà Nội",07:00,18:00,9.000đ ,65.000,['https://images.foody.vn/res/g12/117502/prof/s576x330/image-9b9aa011-230414161258.jpg'],['6.8'],['7.4'],['7.5'],['6.8'],['7.5'],2,39,13,2,7.2,Highlands Coffee - L
150,150,6469fb83b1064f9440f7018a,https://www.foody.vn/ha-noi/dolygon,"Polygon Musik Cafe ở Quận Đống Đa, Hà Nội | Foody.vn",36 Cát Linh Quận Đống Đa Hà Nội,07:30,23:00,40.000đ ,100.000,['https://images.foody.vn/res/g1/9553/prof/s576x330/foody-mobile-polygon-cafe-jpg-961-635788179005445626.jpg'],['7.1'],['7.6'],['7.7'],['7.2'],['8.0'],1,26,4,0,7.5,Polygon Musik Cafe ở
151,151,6469fb83b1064f9440f7018b,https://www.foody.vn/ha-noi/tiem-che-un-nguyen-32-hang-cot,"Cô Liên - Chè Đà Nẵng ở Quận Hoàn Kiếm, Hà Nội | Foody.vn","32 Hàng Cót, P. Hàng Mã Quận Hoàn Kiếm Hà Nội",09:30,23:00,9.000đ ,35.000,[],['6.3'],['7.1'],['7.2'],['6.8'],['7.4'],9,107,36,19,7.0,Cô Liên - Chè Đà Nẵn
152,152,6469fb83b1064f9440f7018c,https://www.foody.vn/ha-noi/greecy-coffee-and-cake,"Greecy - Coffee & Cake ở Quận Hai Bà Trưng, Hà Nội | Foody.vn",10 Ngõ 84 Trần Đại Nghĩa Quận Hai Bà Trưng Hà Nội,08:00,23:00,25.000đ ,100.000,['https://images.foody.vn/res/g16/154884/prof/s576x330/foody-mobile-greecy-jpg-568-636143899470847296.jpg'],['6.5'],['7.0'],['7.4'],['6.9'],['7.7'],7,84,33,10,7.1,Greecy - Coffee & Ca
153,153,6469fb83b1064f9440f7018d,https://www.foody.vn/ha-noi/phan-lau-cac-mon,"Phan - Lẩu Các Món - Đào Duy Anh ở Quận Đống Đa, Hà Nội | Foody.vn",7 Đào Duy Anh Quận Đống Đa Hà Nội,11:00,14:00 | 18:00 ,50.000đ ,250.000,['https://images.foody.vn/res/g32/314657/prof/s576x330/foody-mobile-lau-chap-jpg-551-636180840653009555.jpg'],['6.4'],['6.7'],['6.7'],['6.6'],['7.4'],4,69,32,14,6.8,Phan - Lẩu Các Món -
154,154,6469fb83b1064f9440f7018e,https://www.foody.vn/ha-noi/dung-beo-lau-nuong-oc-nong,"Dũng Béo - Nem Nướng Nha Trang, Lẩu & Ốc Nóng ở Quận Hai Bà Trưng, Hà Nội | Foody.vn",105Y9 - Tập Thể Kinh Tế Quốc Dân Quận Hai Bà Trưng Hà Nội,07:30,22:30,20.000đ ,165.000,['https://images.foody.vn/res/g5/41862/prof/s576x330/foody-mobile-dung-beo-mb-jpg-213-635857335036086139.jpg'],['5.8'],['6.3'],['6.7'],['5.9'],['7.4'],0,69,58,19,6.4,Dũng Béo - Nem Nướng
155,155,6469fb83b1064f9440f7018f,https://www.foody.vn/ha-noi/tra-sua-tocotoco-ho-tung-mau,"Trà Sữa Tocotoco - Hồ Tùng Mậu ở Quận Cầu Giấy, Hà Nội | Foody.vn","60 Hồ Tùng Mậu, P. Mai Dịch Quận Cầu Giấy Hà Nội",09:00,21:00,30.000đ ,60.000,['https://images.foody.vn/res/g18/172294/prof/s576x330/image-c6835402-230116144159.jpeg'],['6.2'],['6.4'],['6.9'],['6.2'],['7.0'],1,49,35,15,6.5,Trà Sữa Tocotoco - H
156,156,6469fb83b1064f9440f70190,https://www.foody.vn/ha-noi/tra-tien-huong-tran-quoc-hoan,"Trà Tiên Hưởng - Trần Quốc Hoàn ở Quận Cầu Giấy, Hà Nội | Foody.vn","1A Trần Quốc Hoàn, P. Dịch Vọng Hậu Quận Cầu Giấy Hà Nội",09:30,22:45,27.000đ ,100.000,['https://images.foody.vn/res/g20/195418/prof/s576x330/foody-mobile-8-jpg-619-635856900716035297.jpg'],['6.7'],['7.2'],['7.3'],['7.2'],['7.4'],1,73,38,1,7.1,Trà Tiên Hưởng - Trầ
157,157,6469fb83b1064f9440f70191,https://www.foody.vn/ha-noi/quan-20-chan-ga-rang-muoi,"Quán 20 - Bún Lòng & Chân Gà Rang Muối ở Quận Hai Bà Trưng, Hà Nội | Foody.vn","285 Ngõ Quỳnh, P. Quỳnh Lôi Quận Hai Bà Trưng Hà Nội",09:00,14:00 | 16:30 ,10.000đ ,100.000,[],['6.1'],['7.1'],['7.2'],['6.5'],['7.3'],7,57,36,10,6.8,Quán 20 - Bún Lòng &
158,158,6469fb83b1064f9440f70192,https://www.foody.vn/ha-noi/vi-quang-am-thuc-mien-trung,"Vị Quảng - Ẩm Thực Miền Trung ở Quận Hoàn Kiếm, Hà Nội | Foody.vn","35 Trần Hưng Đạo, P. Phan Chu Trinh Quận Hoàn Kiếm Hà Nội",10:30,14:30 | 17:00 ,8.000đ ,450.000,['https://images.foody.vn/res/g7/67559/prof/s576x330/file_restaurant_photo_uaiu_16218-b8a347ea-210524170812.jpeg'],['6.5'],['7.1'],['7.2'],['7.0'],['7.6'],3,52,21,5,7.1,Vị Quảng - Ẩm Thực M
159,159,6469fb83b1064f9440f70193,https://www.foody.vn/ha-noi/oc-vi-sai-gon-gia-ngu,"Ốc Vi Sài Gòn - Gia Ngư ở Quận Hoàn Kiếm, Hà Nội | Foody.vn","21 Gia Ngư, P. Hàng Bạc Quận Hoàn Kiếm Hà Nội",11:00,23:00,60.000đ ,165.000,['https://images.foody.vn/res/g3/28857/prof/s576x330/foody-upload-api-foody-mobile-10-201130105249.jpg'],['6.1'],['7.0'],['7.5'],['6.8'],['7.8'],5,59,20,9,7.0,Ốc Vi Sài Gòn - Gia 
161,161,6469fb83b1064f9440f70195,https://www.foody.vn/ha-noi/aloha-homestay,"Aloha Homestay ở Quận Hai Bà Trưng, Hà Nội | Foody.vn",93 Lò Đúc Quận Hai Bà Trưng Hà Nội,07:00,23:00,1.000.000đ ,1.500.000,['https://images.foody.vn/res/g73/725155/prof/s576x330/foody-upload-api-foody-mobile-c2-gif-180319100715.jpg'],['8.0'],['10.0'],['10.0'],['9.5'],['10.0'],2,0,0,0,9.5,Aloha Homestay ở Quậ
164,164,6469fb83b1064f9440f70198,https://www.foody.vn/ha-noi/cong-vien-nho-tiec-cuoi-su-kien,"Nhà Hàng Công Viên Nhỏ - Tiệc Cưới & Sự Kiện ở Quận Tây Hồ, Hà Nội | Foody.vn",36 Ngõ 76 An Dương Quận Tây Hồ Hà Nội,08:00,22:00,100.000đ ,1.000.000,['https://images.foody.vn/res/g8/79729/prof/s576x330/foody-upload-api-foody-mobile-nik_2528-200224144905.jpg'],['7.0'],['7.5'],['7.7'],['7.4'],['8.7'],2,9,0,1,7.7,Nhà Hàng Công Viên N
166,166,6469fb83b1064f9440f7019a,https://www.foody.vn/ha-noi/happy-coffee,"Happy Coffee ở Quận Thanh Xuân, Hà Nội | Foody.vn",6 Ngõ 181 Quan Nhân Quận Thanh Xuân Hà Nội,07:30,22:30,15.000đ ,35.000,['https://images.foody.vn/res/g75/740937/prof/s576x330/foody-upload-api-foody-mobile-happy-coffee-jpg-180517102200.jpg'],['9.5'],['9.5'],['9.5'],['9.5'],['10.0'],2,0,0,0,9.6,Happy Coffee ở Quận 
167,167,6469fb83b1064f9440f7019b,https://www.foody.vn/ha-noi/banh-mi-kep-cha-bo-booby-tran-dai-nghia,"Cơm Gà Giòn Booby - Trần Đại Nghĩa ở Quận Hai Bà Trưng, Hà Nội | Foody.vn","28 Ngõ 183 Trần Đại Nghĩa, P. Bách Khoa Quận Hai Bà Trưng Hà Nội",06:00,00:00,7.000đ ,18.000,['https://images.foody.vn/res/g11/105260/prof/s576x330/foody-upload-api-foody-mobile-com-jpg-180813103513.jpg'],['6.1'],['6.2'],['6.9'],['6.2'],['7.0'],3,78,35,24,6.5,Cơm Gà Giòn Booby - 
168,168,6469fb83b1064f9440f7019c,https://www.foody.vn/ha-noi/vua-banh-trang-dac-san-da-nang-bui-thi-xuan,"Vua Bánh Tráng - Đặc Sản Đà Nẵng - Bùi Thị Xuân ở Quận Hai Bà Trưng, Hà Nội | Foody.vn",179 Bùi Thị Xuân Quận Hai Bà Trưng Hà Nội,10:30,22:00,35.000đ ,100.000,['https://images.foody.vn/res/g29/281482/prof/s576x330/foody-mobile-banh-tr-jpg-301-636111987049347080.jpg'],['7.0'],['7.6'],['7.7'],['7.6'],['7.7'],1,8,1,0,7.5,Vua Bánh Tráng - Đặc
169,169,6469fb83b1064f9440f7019d,https://www.foody.vn/ha-noi/tu-anh-banh-xeo-nem-lui,"Tú Anh - Bánh Xèo & Nem Lụi ở Quận Hà Đông, Hà Nội | Foody.vn","91 Bế Văn Đàn, P. Quang Trung Quận Hà Đông Hà Nội",10:00,22:00,5.000đ ,10.000,['https://images.foody.vn/res/g64/630813/prof/s576x330/foody-mobile-bx-ne-jpg-919-636216286680259956.jpg'],['6.3'],['8.2'],['8.2'],['7.6'],['8.5'],8,9,8,1,7.7,Tú Anh - Bánh Xèo & 
170,170,6469fb83b1064f9440f7019e,https://www.foody.vn/ha-noi/che-sau-lien-da-nang-quang-trung,"Chè Sầu Liên Đà Nẵng - Quang Trung ở Quận Hà Đông, Hà Nội | Foody.vn",16 Quang Trung Quận Hà Đông Hà Nội,09:00,23:00,25.000đ ,35.000,['https://images.foody.vn/res/g66/651943/prof/s576x330/foody-mobile-foody-album17553570_-791-636281290132925860.jpg'],['7.1'],['7.7'],['7.8'],['7.2'],['8.4'],3,6,0,2,7.6,Chè Sầu Liên Đà Nẵng
171,171,6469fb83b1064f9440f7019f,https://www.foody.vn/ha-noi/banh-mi-ngo-thai-phien,"Bánh Mì Ngố - Thái Phiên ở Quận Hai Bà Trưng, Hà Nội | Foody.vn","39A Thái Phiên, P. Lê Đại Hành Quận Hai Bà Trưng Hà Nội",07:00,22:00,10.000đ ,50.000,['https://images.foody.vn/res/g9/80144/prof/s576x330/foody-mobile-banh-mi-jpg-228-635871705540674378.jpg'],['6.1'],['6.7'],['6.9'],['6.4'],['7.3'],0,19,12,3,6.7,Bánh Mì Ngố - Thái P
172,172,6469fb83b1064f9440f701a0,https://www.foody.vn/ha-noi/banh-trang-cuon-thit-heo-hoang-beo-duy-tan,"Bánh Tráng Cuốn Thịt Heo Hoàng Bèo - Duy Tân ở Quận Cầu Giấy, Hà Nội | Foody.vn","40 Duy Tân, P. Dịch Vọng Hậu Quận Cầu Giấy Hà Nội",10:00,22:00,30.000đ ,100.000,['https://images.foody.vn/res/g7/68477/prof/s576x330/foody-upload-api-foody-mobile-habi-190624163718.jpg'],['5.0'],['6.0'],['6.3'],['5.8'],['6.9'],1,45,25,29,6.0,Bánh Tráng Cuốn Thịt
